"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","0.89% (9/1015)",0.004212154,2.38,"ENSG00000038382;ENSG00000100345;ENSG00000107104;ENSG00000136068;ENSG00000140416;ENSG00000145147;ENSG00000154229;ENSG00000157764;ENSG00000171791","TRIO;MYH9;KANK1;FLNB;TPM1;SLIT2;PRKCA;BRAF;BCL2"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.09% (8/736)",0.002053082,2.69,"ENSG00000038382;ENSG00000100345;ENSG00000107104;ENSG00000136068;ENSG00000145147;ENSG00000154229;ENSG00000157764;ENSG00000171791","TRIO;MYH9;KANK1;FLNB;SLIT2;PRKCA;BRAF;BCL2"
"3","GO:0001667","ameboidal-type cell migration","Cell migration that is accomplished by extension and retraction of a pseudopodium.","1.43% (6/421)",0.002069139,2.68,"ENSG00000100345;ENSG00000107104;ENSG00000141376;ENSG00000145147;ENSG00000154229;ENSG00000157764","MYH9;KANK1;BCAS3;SLIT2;PRKCA;BRAF"
"4","GO:0002360","T cell lineage commitment","The process in which a lymphoid progenitor cell becomes committed to becoming any type of T cell.","8% (2/25)",0.002835364,2.55,"ENSG00000157764;ENSG00000171791","BRAF;BCL2"
"5","GO:0003012","muscle system process","A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers.","1.22% (5/411)",0.009566277,2.02,"ENSG00000006704;ENSG00000140416;ENSG00000154229;ENSG00000154556;ENSG00000167460","GTF2IRD1;TPM1;PRKCA;SORBS2;TPM4"
"6","GO:0006928","movement of cell or subcellular component","The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.","0.65% (13/2004)",0.00816776,2.09,"ENSG00000038382;ENSG00000100345;ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000151914;ENSG00000154229;ENSG00000157764;ENSG00000167460;ENSG00000171791;ENSG00000172403;ENSG00000186094","TRIO;MYH9;KANK1;TPM1;BCAS3;SLIT2;DST;PRKCA;BRAF;TPM4;BCL2;SYNPO2;AGBL4"
"7","GO:0007010","cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures.","1.25% (17/1358)",4.275688e-07,6.37,"ENSG00000069020;ENSG00000100345;ENSG00000107104;ENSG00000135525;ENSG00000136068;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000145819;ENSG00000147202;ENSG00000151914;ENSG00000154556;ENSG00000157764;ENSG00000167460;ENSG00000171791;ENSG00000172403;ENSG00000243156","MAST4;MYH9;KANK1;MAP7;FLNB;TPM1;BCAS3;SLIT2;ARHGAP26;DIAPH2;DST;SORBS2;BRAF;TPM4;BCL2;SYNPO2;MICAL3"
"8","GO:0007015","actin filament organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking.","2.37% (10/422)",6.631894e-07,6.18,"ENSG00000107104;ENSG00000140416;ENSG00000145147;ENSG00000147202;ENSG00000154556;ENSG00000157764;ENSG00000167460;ENSG00000171791;ENSG00000172403;ENSG00000243156","KANK1;TPM1;SLIT2;DIAPH2;SORBS2;BRAF;TPM4;BCL2;SYNPO2;MICAL3"
"9","GO:0007044","cell-substrate junction assembly","The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate.","3.03% (3/99)",0.003822513,2.42,"ENSG00000141376;ENSG00000151914;ENSG00000171791","BCAS3;DST;BCL2"
"10","GO:0007155","cell adhesion","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.","0.82% (11/1348)",0.002834491,2.55,"ENSG00000100345;ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000145012;ENSG00000151914;ENSG00000154229;ENSG00000157764;ENSG00000163453;ENSG00000171791;ENSG00000213639","MYH9;KANK1;TPM1;BCAS3;LPP;DST;PRKCA;BRAF;IGFBP7;BCL2;PPP1CB"
"11","GO:0007163","establishment or maintenance of cell polarity","Any cellular process that results in the specification, formation or maintenance of anisotropic intracellular organization or cell growth patterns.","2.25% (5/222)",0.0006732853,3.17,"ENSG00000100345;ENSG00000107104;ENSG00000135525;ENSG00000141376;ENSG00000151914","MYH9;KANK1;MAP7;BCAS3;DST"
"12","GO:0008090","retrograde axonal transport","The directed movement of organelles or molecules along microtubules from the cell periphery toward the cell body in nerve cell axons.","9.09% (2/22)",0.002196535,2.66,"ENSG00000151914;ENSG00000186094","DST;AGBL4"
"13","GO:0009611","response to wounding","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.","1.09% (7/641)",0.00389852,2.41,"ENSG00000100345;ENSG00000107104;ENSG00000140416;ENSG00000151914;ENSG00000154229;ENSG00000157764;ENSG00000171791","MYH9;KANK1;TPM1;DST;PRKCA;BRAF;BCL2"
"14","GO:0010631","epithelial cell migration","The orderly movement of an epithelial cell from one site to another, often during the development of a multicellular organism.","1.62% (5/308)",0.002859691,2.54,"ENSG00000100345;ENSG00000107104;ENSG00000141376;ENSG00000145147;ENSG00000154229","MYH9;KANK1;BCAS3;SLIT2;PRKCA"
"15","GO:0010810","regulation of cell-substrate adhesion","Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules.","1.92% (4/208)",0.00424416,2.37,"ENSG00000107104;ENSG00000141376;ENSG00000157764;ENSG00000171791","KANK1;BCAS3;BRAF;BCL2"
"16","GO:0014812","muscle cell migration","The orderly movement of a muscle cell from one site to another, often during the development of a multicellular organism.","3.37% (3/89)",0.002829711,2.55,"ENSG00000140416;ENSG00000145147;ENSG00000171791","TPM1;SLIT2;BCL2"
"17","GO:0014909","smooth muscle cell migration","The orderly movement of a smooth muscle cell from one site to another, often during the development of a multicellular organism.","3.95% (3/76)",0.001803004,2.74,"ENSG00000140416;ENSG00000145147;ENSG00000171791","TPM1;SLIT2;BCL2"
"18","GO:0014910","regulation of smooth muscle cell migration","Any process that modulates the frequency, rate or extent of smooth muscle cell migration.","4.41% (3/68)",0.001308408,2.88,"ENSG00000140416;ENSG00000145147;ENSG00000171791","TPM1;SLIT2;BCL2"
"19","GO:0014912","negative regulation of smooth muscle cell migration","Any process that stops, prevents, or reduces the frequency, rate or extent of smooth muscle cell migration.","8.33% (2/24)",0.002613822,2.58,"ENSG00000140416;ENSG00000145147","TPM1;SLIT2"
"20","GO:0022610","biological adhesion","The attachment of a cell or organism to a substrate, another cell, or other organism. Biological adhesion includes intracellular attachment between membrane regions.","0.81% (11/1353)",0.002917868,2.53,"ENSG00000100345;ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000145012;ENSG00000151914;ENSG00000154229;ENSG00000157764;ENSG00000163453;ENSG00000171791;ENSG00000213639","MYH9;KANK1;TPM1;BCAS3;LPP;DST;PRKCA;BRAF;IGFBP7;BCL2;PPP1CB"
"21","GO:0030029","actin filament-based process","Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins.","1.81% (14/772)",7.085837e-08,7.15,"ENSG00000100345;ENSG00000107104;ENSG00000136068;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000145819;ENSG00000147202;ENSG00000154556;ENSG00000157764;ENSG00000167460;ENSG00000171791;ENSG00000172403;ENSG00000243156","MYH9;KANK1;FLNB;TPM1;BCAS3;SLIT2;ARHGAP26;DIAPH2;SORBS2;BRAF;TPM4;BCL2;SYNPO2;MICAL3"
"22","GO:0030036","actin cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.","2.06% (14/680)",1.442872e-08,7.84,"ENSG00000100345;ENSG00000107104;ENSG00000136068;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000145819;ENSG00000147202;ENSG00000154556;ENSG00000157764;ENSG00000167460;ENSG00000171791;ENSG00000172403;ENSG00000243156","MYH9;KANK1;FLNB;TPM1;BCAS3;SLIT2;ARHGAP26;DIAPH2;SORBS2;BRAF;TPM4;BCL2;SYNPO2;MICAL3"
"23","GO:0030049","muscle filament sliding","The sliding of actin thin filaments and myosin thick filaments past each other in muscle contraction. This involves a process of interaction of myosin located on a thick filament with actin located on a thin filament. During this process ATP is split and forces are generated.","5.71% (2/35)",0.005510882,2.26,"ENSG00000140416;ENSG00000167460","TPM1;TPM4"
"24","GO:0030155","regulation of cell adhesion","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix.","1.04% (7/672)",0.00504448,2.3,"ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000154229;ENSG00000157764;ENSG00000171791;ENSG00000213639","KANK1;TPM1;BCAS3;PRKCA;BRAF;BCL2;PPP1CB"
"25","GO:0030334","regulation of cell migration","Any process that modulates the frequency, rate or extent of cell migration.","0.92% (8/870)",0.005704954,2.24,"ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000154229;ENSG00000157764;ENSG00000171791;ENSG00000172403","KANK1;TPM1;BCAS3;SLIT2;PRKCA;BRAF;BCL2;SYNPO2"
"26","GO:0030336","negative regulation of cell migration","Any process that stops, prevents, or reduces the frequency, rate or extent of cell migration.","1.85% (5/271)",0.001638605,2.79,"ENSG00000107104;ENSG00000140416;ENSG00000145147;ENSG00000157764;ENSG00000171791","KANK1;TPM1;SLIT2;BRAF;BCL2"
"27","GO:0032231","regulation of actin filament bundle assembly","Any process that modulates the frequency, rate or extent of the assembly of actin filament bundles.","2.91% (3/103)",0.004271928,2.37,"ENSG00000140416;ENSG00000157764;ENSG00000172403","TPM1;BRAF;SYNPO2"
"28","GO:0032233","positive regulation of actin filament bundle assembly","Any process that activates or increases the frequency, rate or extent of the assembly of actin filament bundles.","4.69% (3/64)",0.001097471,2.96,"ENSG00000140416;ENSG00000157764;ENSG00000172403","TPM1;BRAF;SYNPO2"
"29","GO:0032878","regulation of establishment or maintenance of cell polarity","Any process that modulates the frequency, rate or extent of the specification, formation or maintenance of anisotropic intracellular organization or cell growth patterns.","7.69% (2/26)",0.003065433,2.51,"ENSG00000107104;ENSG00000141376","KANK1;BCAS3"
"30","GO:0032956","regulation of actin cytoskeleton organization","Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.","1.72% (6/349)",0.000791721,3.1,"ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000157764;ENSG00000172403","KANK1;TPM1;BCAS3;SLIT2;BRAF;SYNPO2"
"31","GO:0032970","regulation of actin filament-based process","Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the actin cytoskeleton.","1.79% (7/390)",0.0002150722,3.67,"ENSG00000100345;ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000157764;ENSG00000172403","MYH9;KANK1;TPM1;BCAS3;SLIT2;BRAF;SYNPO2"
"32","GO:0032989","cellular component morphogenesis","The process in which cellular structures, including whole cells or cell parts, are generated and organized.","0.9% (10/1107)",0.002172471,2.66,"ENSG00000038382;ENSG00000100345;ENSG00000107104;ENSG00000136068;ENSG00000140416;ENSG00000145147;ENSG00000153823;ENSG00000154229;ENSG00000157764;ENSG00000171791","TRIO;MYH9;KANK1;FLNB;TPM1;SLIT2;PID1;PRKCA;BRAF;BCL2"
"33","GO:0032990","cell part morphogenesis","The process in which the anatomical structures of a cell part are generated and organized.","1.01% (7/691)",0.005863288,2.23,"ENSG00000038382;ENSG00000107104;ENSG00000145147;ENSG00000153823;ENSG00000154229;ENSG00000157764;ENSG00000171791","TRIO;KANK1;SLIT2;PID1;PRKCA;BRAF;BCL2"
"34","GO:0033275","actin-myosin filament sliding","The sliding movement of actin thin filaments and myosin thick filaments past each other.","5.71% (2/35)",0.005510882,2.26,"ENSG00000140416;ENSG00000167460","TPM1;TPM4"
"35","GO:0034260","negative regulation of GTPase activity","Any process that stops or reduces the rate of GTP hydrolysis by a GTPase.","4.44% (2/45)",0.008986168,2.05,"ENSG00000141376;ENSG00000145147","BCAS3;SLIT2"
"36","GO:0034329","cell junction assembly","A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction.","1.6% (4/250)",0.00807811,2.09,"ENSG00000141376;ENSG00000151914;ENSG00000154229;ENSG00000171791","BCAS3;DST;PRKCA;BCL2"
"37","GO:0040013","negative regulation of locomotion","Any process that stops, prevents, or reduces the frequency, rate or extent of locomotion of a cell or organism.","1.52% (5/328)",0.003743464,2.43,"ENSG00000107104;ENSG00000140416;ENSG00000145147;ENSG00000157764;ENSG00000171791","KANK1;TPM1;SLIT2;BRAF;BCL2"
"38","GO:0043368","positive T cell selection","The process of sparing immature T cells which react with self-MHC protein complexes with low affinity levels from apoptotic death.","6.25% (2/32)",0.004621883,2.34,"ENSG00000157764;ENSG00000171791","BRAF;BCL2"
"39","GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","The process in which an immature T cell commits to CD4-positive T cell lineage or the CD8-positive lineage of alpha-beta T cells.","10% (2/20)",0.001814011,2.74,"ENSG00000157764;ENSG00000171791","BRAF;BCL2"
"40","GO:0043534","blood vessel endothelial cell migration","The orderly movement of an endothelial cell into the extracellular matrix in order to form new blood vessels during angiogenesis.","2.31% (3/130)",0.008140654,2.09,"ENSG00000100345;ENSG00000145147;ENSG00000154229","MYH9;SLIT2;PRKCA"
"41","GO:0043542","endothelial cell migration","The orderly movement of an endothelial cell into the extracellular matrix to form an endothelium.","1.74% (4/230)",0.006047662,2.22,"ENSG00000100345;ENSG00000141376;ENSG00000145147;ENSG00000154229","MYH9;BCAS3;SLIT2;PRKCA"
"42","GO:0045058","T cell selection","The process in which T cells that express T cell receptors that are restricted by self MHC protein complexes and tolerant to self antigens are selected for further maturation.","4.44% (2/45)",0.008986168,2.05,"ENSG00000157764;ENSG00000171791","BRAF;BCL2"
"43","GO:0046627","negative regulation of insulin receptor signaling pathway","Any process that stops, prevents, or reduces the frequency, rate or extent of insulin receptor signaling.","6.25% (2/32)",0.004621883,2.34,"ENSG00000107104;ENSG00000153823","KANK1;PID1"
"44","GO:0048538","thymus development","The process whose specific outcome is the progression of the thymus over time, from its formation to the mature structure. The thymus is a symmetric bi-lobed organ involved primarily in the differentiation of immature to mature T cells, with unique vascular, nervous, epithelial, and lymphoid cell components.","4.26% (2/47)",0.009772693,2.01,"ENSG00000157764;ENSG00000171791","BRAF;BCL2"
"45","GO:0051056","regulation of small GTPase mediated signal transduction","Any process that modulates the frequency, rate or extent of small GTPase mediated signal transduction.","1.58% (5/316)",0.003192629,2.5,"ENSG00000038382;ENSG00000107104;ENSG00000138640;ENSG00000145147;ENSG00000145819","TRIO;KANK1;FAM13A;SLIT2;ARHGAP26"
"46","GO:0051146","striated muscle cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle.","1.59% (4/252)",0.008302953,2.08,"ENSG00000100345;ENSG00000140416;ENSG00000154556;ENSG00000171791","MYH9;TPM1;SORBS2;BCL2"
"47","GO:0051271","negative regulation of cellular component movement","Any process that stops, prevents, or reduces the frequency, rate or extent of the movement of a cellular component.","1.58% (5/317)",0.003236135,2.49,"ENSG00000107104;ENSG00000140416;ENSG00000145147;ENSG00000157764;ENSG00000171791","KANK1;TPM1;SLIT2;BRAF;BCL2"
"48","GO:0051384","response to glucocorticoid","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucocorticoid stimulus. Glucocorticoids are hormonal C21 corticosteroids synthesized from cholesterol with the ability to bind with the cortisol receptor and trigger similar effects. Glucocorticoids act primarily on carbohydrate and protein metabolism, and have anti-inflammatory effects.","2.27% (3/132)",0.008487617,2.07,"ENSG00000145147;ENSG00000163453;ENSG00000171791","SLIT2;IGFBP7;BCL2"
"49","GO:0051414","response to cortisol","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cortisol stimulus. Cortisol is the major natural glucocorticoid synthesized in the zona fasciculata of the adrenal cortex; it affects the metabolism of glucose, protein, and fats and has appreciable mineralocorticoid activity. It also regulates the immune system and affects many other functions.","40% (2/5)",9.842594e-05,4.01,"ENSG00000145147;ENSG00000163453","SLIT2;IGFBP7"
"50","GO:0051493","regulation of cytoskeleton organization","Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures.","1.1% (6/546)",0.007364684,2.13,"ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000157764;ENSG00000172403","KANK1;TPM1;BCAS3;SLIT2;BRAF;SYNPO2"
"51","GO:0051495","positive regulation of cytoskeleton organization","Any process that activates or increases the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures.","1.78% (4/225)",0.005599716,2.25,"ENSG00000140416;ENSG00000141376;ENSG00000157764;ENSG00000172403","TPM1;BCAS3;BRAF;SYNPO2"
"52","GO:0090130","tissue migration","The process in which the population of cells that make up a tissue undergo directed movement.","1.59% (5/315)",0.003149548,2.5,"ENSG00000100345;ENSG00000107104;ENSG00000141376;ENSG00000145147;ENSG00000154229","MYH9;KANK1;BCAS3;SLIT2;PRKCA"
"53","GO:0090132","epithelium migration","The process in which the population of cells that make up an epithelium undergo directed movement.","1.61% (5/310)",0.002940441,2.53,"ENSG00000100345;ENSG00000107104;ENSG00000141376;ENSG00000145147;ENSG00000154229","MYH9;KANK1;BCAS3;SLIT2;PRKCA"
"54","GO:0097435","supramolecular fiber organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure.","1.59% (11/690)",8.07955e-06,5.09,"ENSG00000107104;ENSG00000140416;ENSG00000145147;ENSG00000147202;ENSG00000151914;ENSG00000154556;ENSG00000157764;ENSG00000167460;ENSG00000171791;ENSG00000172403;ENSG00000243156","KANK1;TPM1;SLIT2;DIAPH2;DST;SORBS2;BRAF;TPM4;BCL2;SYNPO2;MICAL3"
"55","GO:0110053","regulation of actin filament organization","Any process that modulates the frequency, rate or extent of actin filament organization.","1.85% (5/270)",0.001612183,2.79,"ENSG00000107104;ENSG00000140416;ENSG00000145147;ENSG00000157764;ENSG00000172403","KANK1;TPM1;SLIT2;BRAF;SYNPO2"
"56","GO:0120033","negative regulation of plasma membrane bounded cell projection assembly","Any process that stops, prevents or reduces the frequency, rate or extent of plasma membrane bounded cell projection assembly.","6.9% (2/29)",0.003806256,2.42,"ENSG00000107104;ENSG00000145147","KANK1;SLIT2"
"57","GO:1900077","negative regulation of cellular response to insulin stimulus",NA,"5.88% (2/34)",0.005206484,2.28,"ENSG00000107104;ENSG00000153823","KANK1;PID1"
"58","GO:1902743","regulation of lamellipodium organization",NA,"4.26% (2/47)",0.009772693,2.01,"ENSG00000107104;ENSG00000145147","KANK1;SLIT2"
"59","GO:1902903","regulation of supramolecular fiber organization",NA,"1.4% (5/358)",0.005415857,2.27,"ENSG00000107104;ENSG00000140416;ENSG00000145147;ENSG00000157764;ENSG00000172403","KANK1;TPM1;SLIT2;BRAF;SYNPO2"
"60","GO:1903034","regulation of response to wounding",NA,"2.22% (4/180)",0.002528076,2.6,"ENSG00000100345;ENSG00000107104;ENSG00000154229;ENSG00000157764","MYH9;KANK1;PRKCA;BRAF"
"61","GO:2000114","regulation of establishment of cell polarity","Any process that modulates the frequency, rate or extent of establishment of cell polarity.","9.09% (2/22)",0.002196535,2.66,"ENSG00000107104;ENSG00000141376","KANK1;BCAS3"
"62","GO:2000145","regulation of cell motility","Any process that modulates the frequency, rate or extent of cell motility.","0.87% (8/921)",0.007973779,2.1,"ENSG00000107104;ENSG00000140416;ENSG00000141376;ENSG00000145147;ENSG00000154229;ENSG00000157764;ENSG00000171791;ENSG00000172403","KANK1;TPM1;BCAS3;SLIT2;PRKCA;BRAF;BCL2;SYNPO2"
"63","GO:2000146","negative regulation of cell motility","Any process that stops, prevents, or reduces the frequency, rate or extent of cell motility.","1.77% (5/283)",0.001981145,2.7,"ENSG00000107104;ENSG00000140416;ENSG00000145147;ENSG00000157764;ENSG00000171791","KANK1;TPM1;SLIT2;BRAF;BCL2"
"64","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","Any process that modulates the frequency, rate or extent of extrinsic apoptotic signaling pathway in absence of ligand.","4.44% (2/45)",0.008986168,2.05,"ENSG00000171791;ENSG00000186153","BCL2;WWOX"
