"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","0.89% (9/1015)",0.003634573,2.44,"ENSG00000053747;ENSG00000058085;ENSG00000132464;ENSG00000146426;ENSG00000147010;ENSG00000162105;ENSG00000164715;ENSG00000168546;ENSG00000196878","LAMA3;LAMC2;ENAM;TIAM2;SH3KBP1;SHANK2;LMTK2;GFRA2;LAMB3"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.09% (8/736)",0.001785745,2.75,"ENSG00000053747;ENSG00000058085;ENSG00000146426;ENSG00000147010;ENSG00000162105;ENSG00000164715;ENSG00000168546;ENSG00000196878","LAMA3;LAMC2;TIAM2;SH3KBP1;SHANK2;LMTK2;GFRA2;LAMB3"
"3","GO:0001736","establishment of planar polarity","Coordinated organization of groups of cells in the plane of an epithelium, such that they all orient to similar coordinates.","2.38% (3/126)",0.007047717,2.15,"ENSG00000073282;ENSG00000075275;ENSG00000169071","TP63;CELSR1;ROR2"
"4","GO:0001738","morphogenesis of a polarized epithelium","The morphogenetic process in which the anatomical structures of a polarized epithelium are generated and organized. A polarized epithelium is an epithelium where the epithelial sheet is oriented with respect to the planar axis.","2.7% (4/148)",0.00114098,2.94,"ENSG00000053747;ENSG00000073282;ENSG00000075275;ENSG00000169071","LAMA3;TP63;CELSR1;ROR2"
"5","GO:0006857","oligopeptide transport","The directed movement of oligopeptides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages.","16.67% (2/12)",0.0006140249,3.21,"ENSG00000088386;ENSG00000151012","SLC15A1;SLC7A11"
"6","GO:0006928","movement of cell or subcellular component","The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.","0.65% (13/2004)",0.006758991,2.17,"ENSG00000053747;ENSG00000058085;ENSG00000075275;ENSG00000140945;ENSG00000144724;ENSG00000147010;ENSG00000151012;ENSG00000152377;ENSG00000155849;ENSG00000168546;ENSG00000168675;ENSG00000169071;ENSG00000196878","LAMA3;LAMC2;CELSR1;CDH13;PTPRG;SH3KBP1;SLC7A11;SPOCK1;ELMO1;GFRA2;LDLRAD4;ROR2;LAMB3"
"7","GO:0007044","cell-substrate junction assembly","The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate.","3.03% (3/99)",0.003600576,2.44,"ENSG00000053747;ENSG00000058085;ENSG00000196878","LAMA3;LAMC2;LAMB3"
"8","GO:0007164","establishment of tissue polarity","Coordinated organization of groups of cells in a tissue, such that they all orient to similar coordinates.","2.38% (3/126)",0.007047717,2.15,"ENSG00000073282;ENSG00000075275;ENSG00000169071","TP63;CELSR1;ROR2"
"9","GO:0007166","cell surface receptor signaling pathway","A series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription.","0.58% (16/2740)",0.006749317,2.17,"ENSG00000053747;ENSG00000073282;ENSG00000075275;ENSG00000104635;ENSG00000127946;ENSG00000140945;ENSG00000144724;ENSG00000147010;ENSG00000155849;ENSG00000162105;ENSG00000164715;ENSG00000168546;ENSG00000168675;ENSG00000169071;ENSG00000170873;ENSG00000171345","LAMA3;TP63;CELSR1;SLC39A14;HIP1;CDH13;PTPRG;SH3KBP1;ELMO1;SHANK2;LMTK2;GFRA2;LDLRAD4;ROR2;MTSS1;KRT19"
"10","GO:0007167","enzyme linked receptor protein signaling pathway","Any series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with regulation of a downstream cellular process, e.g. transcription.","1.07% (11/1026)",0.0002441041,3.61,"ENSG00000104635;ENSG00000127946;ENSG00000140945;ENSG00000144724;ENSG00000147010;ENSG00000155849;ENSG00000164715;ENSG00000168546;ENSG00000168675;ENSG00000169071;ENSG00000170873","SLC39A14;HIP1;CDH13;PTPRG;SH3KBP1;ELMO1;LMTK2;GFRA2;LDLRAD4;ROR2;MTSS1"
