"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","0.99% (10/1015)",0.001337686,2.87,"ENSG00000092421;ENSG00000107518;ENSG00000133110;ENSG00000142192;ENSG00000146463;ENSG00000157827;ENSG00000169604;ENSG00000172757;ENSG00000173482;ENSG00000173517","SEMA6A;ATRNL1;POSTN;APP;ZMYM4;FMNL2;ANTXR1;CFL1;PTPRM;PEAK1"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.09% (8/736)",0.00235092,2.63,"ENSG00000092421;ENSG00000107518;ENSG00000133110;ENSG00000142192;ENSG00000169604;ENSG00000172757;ENSG00000173482;ENSG00000173517","SEMA6A;ATRNL1;POSTN;APP;ANTXR1;CFL1;PTPRM;PEAK1"
"3","GO:0001101","response to acid chemical","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of a dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form.","1.76% (6/340)",0.0007724676,3.11,"ENSG00000087460;ENSG00000108821;ENSG00000138668;ENSG00000164692;ENSG00000172757;ENSG00000187498","GNAS;COL1A1;HNRNPD;COL1A2;CFL1;COL4A1"
"4","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.","1.53% (6/392)",0.001607107,2.79,"ENSG00000087460;ENSG00000105810;ENSG00000108821;ENSG00000115461;ENSG00000150938;ENSG00000164692","GNAS;CDK6;COL1A1;IGFBP5;CRIM1;COL1A2"
"5","GO:0001558","regulation of cell growth","Any process that modulates the frequency, rate, extent or direction of cell growth.","1.24% (5/403)",0.009625033,2.02,"ENSG00000092421;ENSG00000115461;ENSG00000138688;ENSG00000150938;ENSG00000170242","SEMA6A;IGFBP5;KIAA1109;CRIM1;USP47"
"6","GO:0001568","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood.","1.6% (11/687)",9.590041e-06,5.02,"ENSG00000049323;ENSG00000092421;ENSG00000108821;ENSG00000130635;ENSG00000134871;ENSG00000164692;ENSG00000166068;ENSG00000169604;ENSG00000173482;ENSG00000187498;ENSG00000189079","LTBP1;SEMA6A;COL1A1;COL5A1;COL4A2;COL1A2;SPRED1;ANTXR1;PTPRM;COL4A1;ARID2"
"7","GO:0001649","osteoblast differentiation","The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone.","2.29% (5/218)",0.0006825591,3.17,"ENSG00000087460;ENSG00000105810;ENSG00000108821;ENSG00000115461;ENSG00000150938","GNAS;CDK6;COL1A1;IGFBP5;CRIM1"
"8","GO:0001654","eye development","The process whose specific outcome is the progression of the eye over time, from its formation to the mature structure. The eye is the organ of sight.","1.39% (5/361)",0.006125581,2.21,"ENSG00000026025;ENSG00000130635;ENSG00000166068;ENSG00000173482;ENSG00000187498","VIM;COL5A1;SPRED1;PTPRM;COL4A1"
"9","GO:0001704","formation of primary germ layer","The formation of the ectoderm, mesoderm and endoderm during gastrulation.","2.61% (3/115)",0.006152539,2.21,"ENSG00000130635;ENSG00000134871;ENSG00000175387","COL5A1;COL4A2;SMAD2"
"10","GO:0001706","endoderm formation","The formation of the endoderm during gastrulation.","6.12% (3/49)",0.0005333021,3.27,"ENSG00000130635;ENSG00000134871;ENSG00000175387","COL5A1;COL4A2;SMAD2"
"11","GO:0001944","vasculature development","The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism.","1.53% (11/718)",1.452499e-05,4.84,"ENSG00000049323;ENSG00000092421;ENSG00000108821;ENSG00000130635;ENSG00000134871;ENSG00000164692;ENSG00000166068;ENSG00000169604;ENSG00000173482;ENSG00000187498;ENSG00000189079","LTBP1;SEMA6A;COL1A1;COL5A1;COL4A2;COL1A2;SPRED1;ANTXR1;PTPRM;COL4A1;ARID2"
"12","GO:0001952","regulation of cell-matrix adhesion","Any process that modulates the frequency, rate or extent of attachment of a cell to the extracellular matrix.","2.5% (3/120)",0.006919485,2.16,"ENSG00000105810;ENSG00000133110;ENSG00000173517","CDK6;POSTN;PEAK1"
"13","GO:0001958","endochondral ossification","Replacement ossification wherein bone tissue replaces cartilage.","6.67% (2/30)",0.004237856,2.37,"ENSG00000087460;ENSG00000108821","GNAS;COL1A1"
"14","GO:0003008","system process","A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective.","0.72% (12/1662)",0.005817503,2.24,"ENSG00000026025;ENSG00000087460;ENSG00000102908;ENSG00000108821;ENSG00000114353;ENSG00000115461;ENSG00000133110;ENSG00000142192;ENSG00000143341;ENSG00000146938;ENSG00000164692;ENSG00000173482","VIM;GNAS;NFAT5;COL1A1;GNAI2;IGFBP5;POSTN;APP;HMCN1;NLGN4X;COL1A2;PTPRM"
"15","GO:0006259","DNA metabolic process","Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides.","0.91% (9/987)",0.004042638,2.39,"ENSG00000069275;ENSG00000087460;ENSG00000110066;ENSG00000116560;ENSG00000119596;ENSG00000138668;ENSG00000170242;ENSG00000189079;ENSG00000196367","NUCKS1;GNAS;KMT5B;SFPQ;YLPM1;HNRNPD;USP47;ARID2;TRRAP"
"16","GO:0006281","DNA repair","The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway.","1.1% (6/546)",0.008142333,2.09,"ENSG00000069275;ENSG00000110066;ENSG00000116560;ENSG00000170242;ENSG00000189079;ENSG00000196367","NUCKS1;KMT5B;SFPQ;USP47;ARID2;TRRAP"
"17","GO:0006302","double-strand break repair","The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix.","1.58% (4/253)",0.009046967,2.04,"ENSG00000069275;ENSG00000110066;ENSG00000116560;ENSG00000189079","NUCKS1;KMT5B;SFPQ;ARID2"
"18","GO:0006417","regulation of translation","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA.","1.32% (5/378)",0.00740968,2.13,"ENSG00000026025;ENSG00000115461;ENSG00000116001;ENSG00000138668;ENSG00000142192","VIM;IGFBP5;TIA1;HNRNPD;APP"
"19","GO:0006464","cellular protein modification process","The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications) occurring at the level of an individual cell. Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification).","0.54% (21/3892)",0.006848749,2.16,"ENSG00000049323;ENSG00000088179;ENSG00000092421;ENSG00000105810;ENSG00000110066;ENSG00000114353;ENSG00000115461;ENSG00000116560;ENSG00000124151;ENSG00000142192;ENSG00000156052;ENSG00000164830;ENSG00000166068;ENSG00000166326;ENSG00000170242;ENSG00000172757;ENSG00000173482;ENSG00000173517;ENSG00000175387;ENSG00000196367;ENSG00000196950","LTBP1;PTPN4;SEMA6A;CDK6;KMT5B;GNAI2;IGFBP5;SFPQ;NCOA3;APP;GNAQ;OXR1;SPRED1;TRIM44;USP47;CFL1;PTPRM;PEAK1;SMAD2;TRRAP;SLC39A10"
"20","GO:0006928","movement of cell or subcellular component","The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.","0.95% (19/2004)",7.079701e-06,5.15,"ENSG00000026025;ENSG00000083312;ENSG00000092421;ENSG00000105810;ENSG00000107518;ENSG00000108821;ENSG00000114353;ENSG00000115461;ENSG00000116560;ENSG00000130635;ENSG00000133110;ENSG00000142192;ENSG00000157827;ENSG00000164692;ENSG00000166068;ENSG00000172757;ENSG00000173482;ENSG00000173517;ENSG00000189079","VIM;TNPO1;SEMA6A;CDK6;ATRNL1;COL1A1;GNAI2;IGFBP5;SFPQ;COL5A1;POSTN;APP;FMNL2;COL1A2;SPRED1;CFL1;PTPRM;PEAK1;ARID2"
"21","GO:0006950","response to stress","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation).","0.58% (21/3618)",0.002727811,2.56,"ENSG00000026025;ENSG00000069275;ENSG00000087460;ENSG00000102908;ENSG00000105810;ENSG00000108821;ENSG00000110066;ENSG00000116560;ENSG00000130635;ENSG00000133110;ENSG00000138668;ENSG00000142192;ENSG00000156052;ENSG00000164692;ENSG00000164830;ENSG00000166068;ENSG00000166326;ENSG00000170242;ENSG00000175387;ENSG00000189079;ENSG00000196367","VIM;NUCKS1;GNAS;NFAT5;CDK6;COL1A1;KMT5B;SFPQ;COL5A1;POSTN;HNRNPD;APP;GNAQ;COL1A2;OXR1;SPRED1;TRIM44;USP47;SMAD2;ARID2;TRRAP"
"22","GO:0007154","cell communication","Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment.","0.53% (30/5649)",0.0006050116,3.22,"ENSG00000026025;ENSG00000049323;ENSG00000069275;ENSG00000087460;ENSG00000092421;ENSG00000102908;ENSG00000105810;ENSG00000107518;ENSG00000108821;ENSG00000114353;ENSG00000115461;ENSG00000116001;ENSG00000116560;ENSG00000122870;ENSG00000124151;ENSG00000133110;ENSG00000134871;ENSG00000142192;ENSG00000146938;ENSG00000150938;ENSG00000156052;ENSG00000164692;ENSG00000166068;ENSG00000166326;ENSG00000170242;ENSG00000172757;ENSG00000173482;ENSG00000175387;ENSG00000187498;ENSG00000196950","VIM;LTBP1;NUCKS1;GNAS;SEMA6A;NFAT5;CDK6;ATRNL1;COL1A1;GNAI2;IGFBP5;TIA1;SFPQ;BICC1;NCOA3;POSTN;COL4A2;APP;NLGN4X;CRIM1;GNAQ;COL1A2;SPRED1;TRIM44;USP47;CFL1;PTPRM;SMAD2;COL4A1;SLC39A10"
"23","GO:0007155","cell adhesion","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.","1.04% (14/1348)",6.520362e-05,4.19,"ENSG00000087460;ENSG00000092421;ENSG00000102908;ENSG00000105810;ENSG00000107518;ENSG00000108821;ENSG00000130635;ENSG00000133110;ENSG00000142192;ENSG00000143341;ENSG00000146938;ENSG00000169604;ENSG00000173482;ENSG00000173517","GNAS;SEMA6A;NFAT5;CDK6;ATRNL1;COL1A1;COL5A1;POSTN;APP;HMCN1;NLGN4X;ANTXR1;PTPRM;PEAK1"
