"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.08% (11/1015)",0.0002709751,3.57,"ENSG00000041515;ENSG00000075213;ENSG00000078018;ENSG00000116106;ENSG00000158321;ENSG00000164690;ENSG00000168280;ENSG00000169760;ENSG00000170381;ENSG00000182168;ENSG00000188517","MYO16;SEMA3A;MAP2;EPHA4;AUTS2;SHH;KIF5C;NLGN1;SEMA3E;UNC5C;COL25A1"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.36% (10/736)",8.660652e-05,4.06,"ENSG00000075213;ENSG00000078018;ENSG00000116106;ENSG00000158321;ENSG00000164690;ENSG00000168280;ENSG00000169760;ENSG00000170381;ENSG00000182168;ENSG00000188517","SEMA3A;MAP2;EPHA4;AUTS2;SHH;KIF5C;NLGN1;SEMA3E;UNC5C;COL25A1"
"3","GO:0001569","branching involved in blood vessel morphogenesis","The process of coordinated growth and sprouting of blood vessels giving rise to the organized vascular system.","6.67% (2/30)",0.004069892,2.39,"ENSG00000164690;ENSG00000170381","SHH;SEMA3E"
"4","GO:0001755","neural crest cell migration","The characteristic movement of cells from the dorsal ridge of the neural tube to a variety of locations in a vertebrate embryo.","5.56% (3/54)",0.0006680725,3.18,"ENSG00000075213;ENSG00000164690;ENSG00000170381","SEMA3A;SHH;SEMA3E"
"5","GO:0001941","postsynaptic membrane organization","A process which results in the assembly, arrangement of constituent parts, or disassembly of a postsynaptic membrane, the specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft).","5.13% (2/39)",0.006807916,2.17,"ENSG00000169760;ENSG00000171723","NLGN1;GPHN"
"6","GO:0002009","morphogenesis of an epithelium","The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube.","1.1% (6/547)",0.007428609,2.13,"ENSG00000075213;ENSG00000116106;ENSG00000164690;ENSG00000170381;ENSG00000185483;ENSG00000198626","SEMA3A;EPHA4;SHH;SEMA3E;ROR1;RYR2"
"7","GO:0006928","movement of cell or subcellular component","The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.","0.65% (13/2004)",0.00816776,2.09,"ENSG00000075213;ENSG00000078018;ENSG00000116106;ENSG00000152127;ENSG00000158321;ENSG00000158560;ENSG00000164690;ENSG00000168280;ENSG00000170381;ENSG00000180357;ENSG00000182168;ENSG00000198626;ENSG00000276644","SEMA3A;MAP2;EPHA4;MGAT5;AUTS2;DYNC1I1;SHH;KIF5C;SEMA3E;ZNF609;UNC5C;RYR2;DACH1"
"8","GO:0006935","chemotaxis","The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis).","1.05% (6/572)",0.009161604,2.04,"ENSG00000075213;ENSG00000116106;ENSG00000164690;ENSG00000168280;ENSG00000170381;ENSG00000182168","SEMA3A;EPHA4;SHH;KIF5C;SEMA3E;UNC5C"
"9","GO:0007155","cell adhesion","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.","0.74% (10/1348)",0.008809562,2.06,"ENSG00000114204;ENSG00000116106;ENSG00000144283;ENSG00000145934;ENSG00000164690;ENSG00000165816;ENSG00000169760;ENSG00000170381;ENSG00000182667;ENSG00000218336","SERPINI2;EPHA4;PKP4;TENM2;SHH;VWA2;NLGN1;SEMA3E;NTM;TENM3"
"10","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","The attachment of an adhesion molecule in one cell to a nonidentical adhesion molecule in an adjacent cell.","6.82% (3/44)",0.0003647546,3.44,"ENSG00000145934;ENSG00000169760;ENSG00000218336","TENM2;NLGN1;TENM3"
