"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000132","establishment of mitotic spindle orientation","A cell cycle process that sets the alignment of mitotic spindle relative to other cellular structures.","6.45% (2/31)",0.004520773,2.34,"ENSG00000137497;ENSG00000152661","NUMA1;GJA1"
"2","GO:0000375","RNA splicing, via transesterification reactions","Splicing of RNA via a series of two transesterification reactions.","1.43% (5/349)",0.005319898,2.27,"ENSG00000089280;ENSG00000122566;ENSG00000125970;ENSG00000135486;ENSG00000167978","FUS;HNRNPA2B1;RALY;HNRNPA1;SRRM2"
"3","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","Splicing of RNA via a series of two transesterification reactions with a bulged adenosine residue from the intron branch point as the initiating nucleophile. When the initial RNA for the splicing reaction is a single molecule (cis splicing), the excised intron is released in a lariat structure.","1.45% (5/346)",0.005130907,2.29,"ENSG00000089280;ENSG00000122566;ENSG00000125970;ENSG00000135486;ENSG00000167978","FUS;HNRNPA2B1;RALY;HNRNPA1;SRRM2"
"4","GO:0000398","mRNA splicing, via spliceosome","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.","1.45% (5/346)",0.005130907,2.29,"ENSG00000089280;ENSG00000122566;ENSG00000125970;ENSG00000135486;ENSG00000167978","FUS;HNRNPA2B1;RALY;HNRNPA1;SRRM2"
"5","GO:0000723","telomere maintenance","Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins, the length of telomeric DNA and the replication and repair of the DNA. These processes includes those that shorten, lengthen, replicate and repair the telomeric DNA sequences.","2.61% (4/153)",0.001508792,2.82,"ENSG00000096384;ENSG00000118655;ENSG00000122566;ENSG00000135486","HSP90AB1;DCLRE1B;HNRNPA2B1;HNRNPA1"
"6","GO:0001890","placenta development","The process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin.","2.65% (4/151)",0.001437479,2.84,"ENSG00000096384;ENSG00000134250;ENSG00000152661;ENSG00000172270","HSP90AB1;NOTCH2;GJA1;BSG"
"7","GO:0001893","maternal placenta development","Maternally driven process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin.","5.56% (2/36)",0.006062016,2.22,"ENSG00000152661;ENSG00000172270","GJA1;BSG"
"8","GO:0001906","cell killing","Any process in an organism that results in the killing of its own cells or those of another organism, including in some cases the death of the other organism. Killing here refers to the induction of death in one cell by another cell, not cell-autonomous death due to internal or other environmental conditions.","2.63% (3/114)",0.006005606,2.22,"ENSG00000096384;ENSG00000111640;ENSG00000185896","HSP90AB1;GAPDH;LAMP1"
"9","GO:0002009","morphogenesis of an epithelium","The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube.","1.46% (8/547)",0.0003434615,3.46,"ENSG00000068878;ENSG00000108518;ENSG00000110492;ENSG00000124766;ENSG00000134250;ENSG00000152661;ENSG00000172270;ENSG00000196924","PSME4;PFN1;MDK;SOX4;NOTCH2;GJA1;BSG;FLNA"
"10","GO:0002790","peptide secretion","The controlled release of a peptide from a cell or a tissue.","1.35% (6/444)",0.003001687,2.52,"ENSG00000090565;ENSG00000111640;ENSG00000124766;ENSG00000152661;ENSG00000169100;ENSG00000172270","RAB11FIP3;GAPDH;SOX4;GJA1;SLC25A6;BSG"
"11","GO:0002791","regulation of peptide secretion","Any process that modulates the frequency, rate, or extent of peptide secretion.","1.8% (6/334)",0.0007039036,3.15,"ENSG00000090565;ENSG00000111640;ENSG00000124766;ENSG00000152661;ENSG00000169100;ENSG00000172270","RAB11FIP3;GAPDH;SOX4;GJA1;SLC25A6;BSG"
"12","GO:0002793","positive regulation of peptide secretion","Any process that activates or increases the frequency, rate, or extent of peptide secretion.","2.33% (4/172)",0.002313844,2.64,"ENSG00000111640;ENSG00000124766;ENSG00000152661;ENSG00000172270","GAPDH;SOX4;GJA1;BSG"
"13","GO:0003006","developmental process involved in reproduction","A developmental process in which a progressive change in the state of some part of an organism specifically contributes to its ability to form offspring.","1.26% (8/634)",0.0009100967,3.04,"ENSG00000044574;ENSG00000068878;ENSG00000096384;ENSG00000110492;ENSG00000134250;ENSG00000152661;ENSG00000172270;ENSG00000196924","HSPA5;PSME4;HSP90AB1;MDK;NOTCH2;GJA1;BSG;FLNA"
